
param K := 2;
param N := 8;
param p := 1;
param q := 8;

param: E:cost:=
1 1 100000
1 2 1
1 3 100000
1 4 100000
1 5 1
1 6 100000
1 7 8
1 8 100000
2 1 1 
2 2 100000
2 3 1
2 4 100000
2 5 1
2 6 2
2 7 100000
2 8 100000
3 1 100000
3 2 1
3 3 100000
3 4 1 
3 5 100000
3 6 100000
3 7 1
3 8 100000
4 1 100000
4 2 100000
4 3 1
4 4 100000
4 5 100000
4 6 1
4 7 100000
4 8 1
5 1 1
5 2 1
5 3 100000
5 4 100000
5 5 100000
5 6 4
5 7 100000
5 8 100000
6 1 100000
6 2 2
6 3 100000
6 4 1
6 5 4
6 6 100000
6 7 100000
6 8 4
7 1 8
7 2 100000
7 3 1
7 4 100000 
7 5 100000
7 6 100000
7 7 100000
7 8 2
8 1 100000
8 2 100000
8 3 100000
8 4 1
8 5 100000
8 6 4
8 7 2
8 8 100000
;

end;
